,0 Allgemeiner Diskurs der Literaturvermittlung (Institutionalisierung),1 Methodik,2 Unterstufe,3 Goethes und Lessings Dramen,4 Mittelalterliche Literatur,5 Oberstufe,6 Schiller Drama,7 Lyrik Drama Handlung (Religion Weltmodell),8 Lesebücher,9 Kanon Poetologie,10 Interdiskurs (Pädagogik Religion Nation Ästhetik),11 Sprachdidaktik,12 Mythos Fabel Phantastik ,13 Handlung (Religion Welt),14 Lyrik Epik (Form),15 Schillers Lyrik Dramen,16 Literaturvermittlung (Idealistische Poetologie),17 Literaturvermittlung (Praxis Methode),18 Drama Deklamation,19 Allgemeiner Diskurs der Literaturvermittlung (Verfächerung),20 Lyrik Drama Handlung (Figuren),21 Handlung (Dynamik Natur),22 rauschen_Nathan,23 Allgemeiner Diskurs der Literatuvermittlung (Institutionalisierung Verordnungen),24 Mittelalterliche Literatur (Nibelungen),25 Lyrik Handlung Autoren Gattung,26 Literaturvermittlung Patriotisch,27 Literaturvermittlung (Institutionalisierung Idealismus),28 Literarästhetik Genieästhetik,29 Jugendliteratur
Z_R_1804_XYZ_0073,0.1236893126670013,0.002600881917560298,0.0003958877441220526,0.0004924396473288539,0.0003122437771842381,0.018067338523400096,0.0007274581615010943,0.004917620198417558,0.3339948822917095,0.02584956215105441,0.07633772832193733,0.0007051542676223727,0.0007858882807544667,0.001375013419447548,0.0007168140607362773,0.00035667990337024275,0.07936294532041632,0.003903608759065528,0.0004217964014554812,0.08576081838222643,0.051721170337149076,0.0016851626106843141,0.0004199332563707967,0.10057991071454032,0.012770861002056638,0.0015697008531713249,0.002656089693995125,0.0016051654631578673,0.06558149419500303,0.0006364376775601356
Z_R_1805_MG_0075,0.02821299479574256,0.08912254522511454,0.00017826984052887575,0.0002217475501649926,0.0001406046264155295,0.002638835217626499,0.00032757733061382057,0.02420226353187281,0.1998718750500008,0.0006462419065625842,0.04536910523962704,0.0003175337976579056,0.13777788498540047,0.006116133916475214,0.0058197441028075,0.00016061439243257955,0.002755693771226105,0.06222436908433452,0.022177776026941973,0.12656979847318917,0.028787210498712988,0.0007588354889291516,0.0001890976312288,0.0013158587598885443,0.00025381012626227883,0.0007068425959825124,0.10563828506898429,0.028207611719739525,0.07900424880425656,0.00028659044127982483
Z_R_1826_CH_0206,0.0008131195535363049,0.001307774459424822,0.0001990601253623144,0.00024760831671625155,0.00015700229762792168,0.04591278854457308,0.0003657802368835196,0.1313712927636392,0.554635030570447,0.0007216082908532814,0.001555931364262638,0.0003545654014219871,0.00039516004728736324,0.012967442472812538,0.00036042817417364104,0.00017934565374473705,0.0460432754416286,0.008100840449176321,0.00021208750661706605,0.00015601656139446822,0.0014543017606847256,0.0008473328248203749,0.1168337087744413,0.0014693175745567884,0.0002834101124570782,0.05603154074788309,0.0013355340126346917,0.006945138062793545,0.00842354454647825,0.00032001335166708864
Z_R_1826_K_0207,0.03480634556565024,0.12791929721118736,0.00015826090249839063,0.009956825097138076,0.005004806420634286,0.051142485403936275,0.0002908101775777354,0.0019658780103734078,0.22623816504199915,0.0005737079646307809,0.0012370287695014958,0.000281893926880703,0.000314168322767692,0.0005496782053502454,0.16132600077441756,0.0001425870950756441,0.03660627818912073,0.10404016196895328,0.0001686182008815551,0.00012403951703558313,0.010916195504113095,0.0006736640868104803,0.019687806198826242,0.17684756259508774,0.00022532257574433835,0.0006275068560819069,0.0010618039035801695,0.0006416842618403768,0.0018170775955959533,0.02465433965670951
Z_R_1826_SJB_0205,0.008679162594838355,0.0005903294624684515,0.0028605625461114296,0.00011177040770020141,7.087084573112568e-05,0.00687150128544274,0.0001651132189230859,0.0038868728415339567,0.15338754530385898,0.00032573402193490663,0.10321849890463375,0.014013584814793147,0.00017837526694530685,0.0003120906517550733,0.00016269729752329832,8.095663790356338e-05,0.023554643845758623,0.336141535178607,9.573631207983077e-05,0.00838254626826771,0.0006564718942664813,0.00038248608343986474,0.15802560072341382,0.09763798784594198,0.00012793134025456779,0.0003562794045483285,0.0006028601263047479,0.0003643289065301975,0.07861147192405475,0.0001444540444347313
Z_R_1831_SCH_0122,0.0390592116491985,0.06883662797822418,2.142164147651191e-05,2.6646102918120266e-05,1.6895633541134488e-05,0.08090266041996169,3.936304711679728e-05,0.019421679975927596,0.43619279071527683,7.765510076416341e-05,0.04970774750321975,3.815617465031132e-05,4.2524723841221684e-05,7.44025167086684e-05,3.878709063971705e-05,1.930008979898763e-05,0.026092095526045987,0.058999057515482664,2.28235691107339e-05,1.6789554595665055e-05,0.001477577991058151,9.118481138070507e-05,2.2722753597711774e-05,0.07413831174658721,3.0498874693378544e-05,0.019901060178885203,0.053647254288787506,0.0007473935692306449,0.07026292136433389,3.44378929463244e-05
Z_R_1832_COM_0196,0.29949899308801403,0.05871216354150984,4.7349594379341864e-05,5.8897548366990605e-05,3.734547587456803e-05,0.10144276934869705,8.700660575235995e-05,0.053149144877425704,0.023886686672111926,0.00017164592763358927,0.08505168151049444,8.433898003290406e-05,9.399505762353177e-05,0.011844674284387501,8.57335331169223e-05,4.266019597372799e-05,0.13067435208477987,0.06616811043681428,5.04483627394783e-05,3.711100294467266e-05,0.00034592864014452686,0.00020155149348229177,5.022552390362266e-05,0.06459069799592967,6.741357086669873e-05,0.0001877418530836224,0.05141863049787875,0.00019198354766148393,0.0516445985190247,7.612022935196529e-05
Z_R_1833_KAN_0163,0.039695723009502394,0.18307833591126657,2.5679106227287128e-05,3.19419082859682e-05,2.0253572489102928e-05,0.013049179710101609,0.006381718958948446,0.01219622828955441,0.3835246280511344,0.012762154068799688,0.009702516879886162,4.5739560301510955e-05,0.008760958755587654,8.918971649461585e-05,4.649586829640518e-05,2.31359047198975e-05,0.009106929833569283,0.08656121364314383,0.029324573237640053,2.0126410781529072e-05,0.00018760748457874663,0.00010930742447200829,2.723880912916496e-05,0.0001895445509741789,0.031709223728648685,0.00010181804198824232,0.12369567320665971,0.00010411844027203704,0.0493874636314244,4.1282285121905736e-05
Z_R_1834_POL_0134,0.17029173642977977,0.1004213533985184,1.218775454053031e-05,1.5160190323595982e-05,9.61270099828167e-06,0.059182586569563704,2.239544326016663e-05,0.03622915794473884,0.08206204727923583,0.0004199915976952593,9.526422991560908e-05,0.018436401174201002,2.419426618865432e-05,4.233100492496012e-05,2.206775519870882e-05,1.0980706466316787e-05,0.04641303417672997,0.19817207160479244,1.2985375484201623e-05,9.552347819898149e-06,8.904180510700151e-05,5.1879222241261577e-05,1.292801691399408e-05,0.1801029743979342,1.735220893006073e-05,0.00042413467835010157,8.177007171524007e-05,0.04326757201570933,0.06402764233560848,1.9593297114185723e-05
Z_R_1834_POL_0135,0.252459761956172,0.051656553876812394,0.0003550410851930457,1.387247655056267e-05,8.796193605741084e-06,0.15560271600529155,2.049316366316075e-05,0.02077184773065183,0.04139057866908915,4.042874741168468e-05,0.06542599966118443,1.9864842514575045e-05,0.0010538048866682063,0.0007265125178772131,2.0193309581421585e-05,1.0048000038990215e-05,0.0606967828984423,0.16139370490399915,1.1882391517503689e-05,8.740966855020534e-06,0.0028325870663885953,0.002110803962343895,1.1829905011517055e-05,0.08089613244071622,1.5878304054538647e-05,4.4219912826140764e-05,0.011079258541097928,0.08257847441951817,0.008725262131780138,1.79290331429214e-05
