,0 Literaturvermittlung (Unterstufe),1 Bildung (Weltmodell Religion),2 Literaturvermittlung (Methode Sprache),3 Mittelalterlive Literatur (Nibelungen),4 Literaturvermittlung (Patriotisch),5 Literaturvermittlung (Oberstufe),6 Lyrik (Poetologie),7 Lesebuch (Sprache),8 _Rauschen_ (Nathan),9 Literaturvermittlung (Praxis Methode [Rhetorik]),10 Schiller (Drama),11 _Rauschen_ (Wackernagel),12 Deklamation,13 Handlung (Drama) ,14 Handlung (Religion Welt),15 Allgemeiner Diskurs der Literaturvermittlung,16 Literaturgeschichte (Lyrik Form),19 Lyrik (Patriotisch),18 Handlung (Maria Stuart),19 Handlung (Hermann und Dorothea),20 Mittelalterlive Literatur,21 Drama (Historisch),22 Drama (Handlung Poetologie),23 Prosa (Unterstufe Jugendliteratur),24 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),25 Literaturvermittlung (idealistische Poetologie),26 Lesebuch (Form),27 Kanon (Poetologie),28 _Rauschen_,29 Handlung (Ballade)
Z_R_1869_JEN_0600,8.879661521396255e-05,0.03250182768047625,0.01519026320165625,0.00013649800839053453,0.015283213583988285,0.3011097801826492,0.0027442639104373464,0.024313785199536374,0.00010094576238696475,0.00015523934147216128,0.0026869284933980567,0.00011704641588075878,0.0002718695035633677,8.900267554743773e-05,0.00032116425108712747,0.00018361143546308045,0.009958316458682894,0.00033434780635181657,0.0001049379256104452,0.005398972367489137,6.19500696420658e-05,0.00010390259534981781,0.015072249930508205,0.00019596188717084875,0.06334034356489351,0.0006948710073887454,0.4022339709221712,0.10672736906851658,0.0001523360433497592,0.00032623409172772894
Z_R_1869_ON_0599,0.00040059646099637565,0.026674098019132488,0.16667378780591705,0.0006157962098278679,0.1998079685898418,0.2897397272682828,0.0014755056576843447,0.0006395658204419395,0.0004554060429821485,0.0007003457356038622,0.001216843037489345,0.0005280424243780087,0.0012265102753961892,0.0004015260802182682,0.001448898272462804,0.0008283434122769206,0.0013060894363085252,0.001508374476253443,0.0004734162616733975,0.0025469914368774376,0.00027948113334378875,0.00046874547960168883,0.00256715828960432,0.0008840611582058292,0.13308392902024432,0.0031348364544997605,0.14617857156938263,0.0016714176889578221,0.0006872478157085011,0.012376718666406319
Z_R_1869_PRH_0131,0.00041414515558777366,0.005028714952585111,0.0032043938259023407,0.0006366232404929583,0.04873298372191478,0.06278997629468248,0.012799177101778515,0.0006611967703277976,0.00047080846909468976,0.0007240323414627456,0.001257998255485046,0.0005459015076095595,0.0012679924519816304,0.0004151062157437483,0.0014979019010489794,0.000856359066438773,0.0013502630838679215,0.012833157586644578,0.0004894278168630282,0.11537081319843327,0.0002889335496490018,0.0004845990628520888,0.013927750848959948,0.01218772917822764,0.013573553899280527,0.014514628629506619,0.6246207740413269,0.0017279472143211395,0.023258027270940482,0.02406908334698988
Z_R_1869_RCK_0305,0.0001409094059185717,0.020890001535597145,0.001090268047917178,0.0002166057031006523,0.12014771509902061,0.31288491956074715,0.0005190076445924307,0.00022496663994521146,0.00016018862175849987,0.0002463459145297795,0.0004280233257236019,0.00018573839652462806,0.00043142376702290543,0.00014123639855340815,0.0005096485233578379,0.0002913689697362539,0.0579964863622541,0.0005305692187668437,0.0001665236982340517,0.0008959016995742658,9.83072101210567e-05,0.0001648807552952584,0.0009029953699225369,0.0003109676313380983,0.20408013266009084,0.001102675598672948,0.2662232308312381,0.008259528933637654,0.00024173873426005396,0.0005176937425483172
Z_R_1870_BUR_0601,0.0001182333951896336,0.0046541601994564,0.0363185723477946,0.00018174817733478569,0.020349719717234555,0.0919518103576112,0.12595789676934546,0.022718427139962413,0.00013441008070249222,0.00020670241050326014,0.0003591431721023954,0.00015584822812237016,0.05507689351173895,0.0001185077661527832,0.0004276327394695132,0.00024448007796392594,0.0840670910137142,0.06159713058566254,0.00013972567759687774,0.0007517276721615055,8.248700750998852e-05,0.00013834712716945903,0.0490355301838457,0.006697971521859299,0.010312130952102498,0.010580796319741256,0.41649234805638735,0.0004933078730999628,0.00020283664609960404,0.0004343832723649883
Z_R_1870_HOL_0176,0.00012016719988932227,0.0014591178642089577,0.0009297779491222534,0.000184720818684771,0.0010555663831359667,0.15233672741461207,0.00044260846155199746,0.0001918510053640246,0.0001366084684366102,0.00021008319891948612,0.0036361822190685202,0.0001583972544401699,0.02980840182042907,0.00012044605841588106,0.0004346270256439103,0.00024847875129127653,0.0003917885594292326,0.32429779959559574,0.00014201100630261822,0.0007640227982803179,8.383615055481294e-05,0.00014060990854590199,0.0007700722631626144,0.0002651924424101859,0.0006672994670112064,0.027109678791599562,0.33171180494398256,0.07573817050588072,0.023104308955853897,0.02333964271817632
Z_R_1870_JAC_0312,5.5265848710958913e-05,0.014210972385702547,0.11626908588786473,8.495457020384601e-05,0.04712293975227607,0.20545999469700263,0.0017079938658892367,8.823379963300358e-05,0.006080566208525603,0.013636531432512252,0.0001678743318091327,0.001577282876628706,0.0001692080133556038,5.5394097959961586e-05,0.006217627307651209,0.00011427734930496537,0.00018018666717742576,0.00020809368958666082,6.531198860288094e-05,0.00035138014716472955,3.855691084870794e-05,6.466761262737964e-05,0.004867466511530158,0.11897230718506722,0.18384793246326034,0.004945782768991828,0.272911668902134,0.00023058695251828326,9.481195544118056e-05,0.00020304382001879226
Z_R_1870_WIL_0313,0.16585978063965634,0.10043019718567178,0.03905593213773696,4.2182241352410385e-05,0.002482023246033122,0.07064275730580853,0.00010107261911645396,0.02842952626361156,3.1195462576473e-05,4.797391146274082e-05,8.335414521262422e-05,3.617107840863664e-05,0.06955432080269627,2.7504667542186915e-05,0.0038342126093046294,5.674179408981963e-05,0.047896988893584534,0.00010332414391592917,3.242916843487105e-05,0.024825222936109663,1.914454884912052e-05,3.210921833854227e-05,0.0009228437016407753,0.11808537678827978,0.00015238232145255295,0.0823839146249741,0.19974938018302543,0.015054343076238187,4.707669967510234e-05,0.029980517585200813
Z_R_1870_WIL_0314,2.7237526039676025e-05,0.12489498668843176,0.026903087749114638,4.18694794721916e-05,0.07141883434346827,0.1138647548393239,0.005290500621814277,0.0037507552112894635,3.096416259769283e-05,4.761820701770713e-05,0.0023070978596061915,0.0007773568021871434,0.03493172744743464,0.03635854260023713,0.08017553700231574,5.632107983572736e-05,0.007503343348543936,0.004551281536939262,3.218872109569612e-05,0.09285491558890425,1.90026008420441e-05,0.0007733250589375873,0.012037809975715115,6.0109464665278893e-05,0.0023756142237304836,0.051373465322232977,0.26722354473814075,0.04015215519231706,0.017100167707723157,0.003065884900026207
Z_R_1871_DUN_0193,0.08544472585037301,0.06262150655866819,0.009007919766466973,0.02798469526839969,0.06651440024050197,0.07309767346543193,0.0017045609705179483,4.681812746874637e-05,0.0008316118575927066,0.0008495421743557175,8.907654320749386e-05,3.865428192574867e-05,0.02723112658563552,2.939290782095747e-05,0.047204275441950244,0.002455461537702498,0.00249043397296388,0.06397239956606786,3.465548373033269e-05,0.06085533032579898,0.006406657058464815,3.431356853814671e-05,0.12232396432388798,6.471591612955105e-05,0.004154217494509694,0.00022947938746793368,0.06019374394207288,0.0025171770917388177,0.22037414666845012,0.05119732362215964
Z_R_1871_GRO_0185,5.956737997989111e-05,0.018560121403117545,0.16261390041607449,9.156687687594232e-05,0.0005232486393639149,0.2765836753342398,0.00021940285232464323,9.510134002097562e-05,6.771738507121183e-05,0.011454849507880838,0.00018094056899486312,7.851817677119303e-05,0.0034254381680833244,5.9705611309467394e-05,0.00021544642140206152,0.0001231719488240445,0.00019421121581255206,0.00022429033785141447,7.039544552545102e-05,0.00037872927371512604,4.155792795995445e-05,6.970091554938304e-05,0.003624788131093469,0.00013145699491535373,0.05384127497327111,0.011816850293782195,0.12389266773881535,0.2629364034426513,0.06820645385917333,0.00021884741954989086
