,0 Oberstufe (Rhetorik),1 Kanon (Poetologie),2 Literaturvermittlung (Lesebuch Methode),3 Handlung (Ballade Drama),4 Unterstufe,5 Literaturvermittlung (patriotisch),6 Handlung (Hermann und Dorothea),7 _rauschen (Wackernagel),8 Schiller (Drama),9 Mittelalterlive Literatur,10 Literaturvermittlung (idealistische Poetologie),11 Literaturvermittlung (Sprache),12 Handlung (Religion Welt) ,13 Lyrik (Poetologie),14 _rauschen (Handlung Methode),15 Literaturvermittlung (Praxis Methode [Rhetorik]),16 Prosa (Unterstufe Fabel Volkslied),17 Oberstufe,18 Literaturvermittlung (Ästhetik),19 Literaturvermittlung (Methode),20 Deklamation,21 Lesebuch (Form),22 Prosa (Unterstufe Jugendliteratur),23 _rauschen (Nathan Religion Nation),24 Drama (Handlung Poetologie),25 Handlung (13),26 Lyrik (patriotisch),27 Handlung (Welt),28 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen),29 Mittelalterliche Literatur (Nibelungen
Z_K_1887_LEH_0419,0.00015147592756301677,0.12429994525974501,0.13343720882323493,0.0008941967420266094,0.0002625516445056901,0.002134765251024032,0.0007478850786909913,0.00027404265169060345,0.0014447550234317104,0.00021887175512229234,0.0020329800093608565,0.0015133772040562808,0.0009332752001228961,0.0014523067177751902,0.00043364679283299564,0.0013596642430042357,0.0005495317700912967,0.4593333827384006,0.0030128349885545753,0.010389673062576783,0.0004295848207833239,0.24907390529840653,0.00033167359928846954,0.00031595575083519044,0.0012820226258677733,0.0001679637856269148,0.0006675030886515505,0.0020190316501615085,0.0004789642325220128,0.0003570242640460835
Z_K_1888_ERD_0479,1.4442832015896117e-05,0.04297504358789623,0.0874189758736005,8.525931177334529e-05,0.005558077190132547,0.04446789290313032,0.002146200221338059,2.6129247380984248e-05,0.0001377535984974607,2.086884723607671e-05,0.00019383930660968316,0.0029108183333221792,0.000780615787673061,0.023653908848231896,4.134708322227306e-05,0.029869749659114927,0.026334353417129287,0.1364747121004685,0.0957322676634623,0.024506063265499242,4.09597848514328e-05,0.42835235476035444,3.1624206933066325e-05,3.0125551347890375e-05,0.002197128834163669,1.60149059959003e-05,6.364466707408327e-05,0.0458401189031589,4.566798212250715e-05,3.4041326263351976e-05
Z_K_1890_ON_0833,2.5073031933996153e-05,0.2150854829289453,0.00047486976781646383,0.00014801179189862543,4.345882459954397e-05,0.00035335672256070835,0.0013244772265700636,0.057678176191220135,0.03025623418729686,3.6228716957999845e-05,0.17203427103978758,0.0014511852046184023,0.00975994946813815,0.00024039286834923456,7.177932533374594e-05,0.04945308798739886,0.0012916448226313918,0.115653655102829,0.04132194327874034,0.07376076834401579,7.110696797271212e-05,0.0004046794991429152,5.4900226593189897e-05,0.05648443019866774,0.14189287761076683,2.780218235684026e-05,0.004913222966252781,0.025548556636475137,7.928048826286529e-05,5.909639186671996e-05
Z_K_1890_SCH_0502,2.6107477022664004e-05,0.00016983857340683664,0.3293024777283157,0.00015411835577959195,0.005046134192012356,0.046626097224113226,0.037635518769200675,0.012549438274489157,0.001499229853286278,3.772341526272009e-05,0.00035039216947421053,0.011512821907413416,0.00016085368305729093,0.007751634385933631,7.474074502781606e-05,0.15026081476215913,9.471398057565178e-05,0.1191749896933686,0.08178361264844147,0.11806121657627132,7.404064803115374e-05,0.000421375474383363,0.0025576064478591252,5.445622705744206e-05,0.013973388215343526,2.8949224767546338e-05,0.00011504680532342493,0.06035857660886078,8.255138553315163e-05,6.153454822872065e-05
Z_K_1890_WAE_1014,6.292523683609698e-05,0.00040935140711806416,0.3115646939925193,0.0003714619390376889,0.009149055727597511,0.04910008130889198,0.024417316867071253,0.00011384118280872947,0.03676012389961055,9.092241420388616e-05,0.0008445285705140382,0.06390859473509174,0.00038769568172182154,0.0006033086949518096,0.00018014299421192258,0.11205800991632969,0.00324161260537448,0.17876024853259997,0.08261146679071499,0.07964925066077468,0.00017845559372948707,0.00402894459633015,0.00013778189130959507,0.0001312524753661607,0.003545899638446682,6.977452563255682e-05,0.01534393698339204,0.02193203972495028,0.00019896849784879994,0.00014831291501408254
Z_K_1890_WEN_0445,9.424019252884927e-06,0.12100763886294437,0.03131765348835821,5.563212220119918e-05,1.6334554225910726e-05,0.05022625720213343,4.652939575231932e-05,1.7049463021571417e-05,8.988490366469877e-05,1.3617025935207409e-05,0.04345054040508428,0.000996738776197894,0.0009606479428776555,0.01498300011384815,2.6979176099844722e-05,8.459101198241861e-05,3.4188917438764903e-05,0.20006832592726342,0.09044589929781521,0.1387418287153167,2.6726461999217337e-05,0.2379831378220787,2.0634951280082636e-05,1.9657071105848303e-05,0.04927061956385784,1.0449805292507409e-05,0.009067374147185215,0.0050898284413766265,2.979858398195245e-05,0.0058890118304279855
Z_K_1891_HUT_0453,4.521094304383296e-06,0.011287603417837877,0.3125004569155978,0.0138829254329071,7.836365577542486e-06,0.042065432781691066,0.0262192690094068,8.179337084442328e-06,0.010218795127300161,6.5326541411149616e-06,0.01153537400992924,0.0006946807731224206,0.03510145377514385,0.020178190426381467,1.2943033766046502e-05,4.058182949474094e-05,0.03335797065597929,0.25532782212813426,0.0009559387069050108,9.359634980921759e-05,1.2821796292912725e-05,0.09273655144611202,9.89944504570587e-06,9.430315222488797e-06,0.015410026707296656,5.013206565278073e-06,0.06908460117834327,0.042494985873925854,0.006725910121634799,1.0656085047136445e-05
Z_L_1877_RIC_0783,2.7554334893636203e-05,0.00017925090675927242,0.0005218643141253585,0.00016265948581400394,4.775964112565046e-05,0.053168603280783225,0.0001360445600284042,4.9849920850833584e-05,0.00026280917631839014,0.04754206359904984,0.0003698106551398567,0.00423381274047463,0.021281879004089736,0.0002641828725769462,0.03174704921004087,0.0833762674411887,0.476441965683515,0.0004264245371411921,0.007145586526421439,0.09161641219557755,7.814392826320221e-05,0.04134944271961539,0.0013798402515590217,5.747415256104821e-05,0.00023320722535059922,0.04093526848540727,0.00012142261772643508,0.08085719626657233,0.015921209517755792,6.494474927435039e-05
Z_L_1878_GRI_0695,8.340045389794599e-06,5.425500939525269e-05,0.00015795598347484392,4.9233178735980065e-05,0.023578084357556175,0.030870069383761318,0.00044056100659953354,1.5088391869318526e-05,0.0020764638027540106,0.26919655425364175,0.00011193293764490029,0.03562845909307858,0.03879158780683527,0.0016774960517799053,2.3875964937474654e-05,0.021242188571710122,3.0256424102693956e-05,0.001327219229569367,0.06366786461264395,0.14195381222872366,0.1254300827286237,0.00013460858663028635,1.8261468453537626e-05,1.739606646102812e-05,7.058631072605755e-05,9.247842997280407e-06,3.675175420111583e-05,0.14149293682466188,0.0008251381502686598,0.10106369193277268
Z_L_1886_B_0647,2.6674408229009396e-05,0.005283004607606264,0.0005051989753650991,0.00015746507922154854,0.020484146240661767,0.13960919899163646,0.00013170008078735156,0.12395309809055793,0.0040865250221179955,3.854258983496222e-05,0.004190109490340841,0.00026650070407180756,0.015492780491456436,0.004087854850434477,7.636376132713098e-05,0.006626279788931046,0.07546157036300495,0.09621551840379529,0.02607793995359742,0.13723075241014387,0.09843309884137635,0.22780229417188277,5.8406620302918564e-05,5.5638759343954975e-05,0.010444715814135034,2.957786532542106e-05,0.00011754507905824702,0.0003555447742103661,8.43440120878036e-05,0.0026176097591554355
