_id;author_prename;author_surname;title;source;year;editor_prename;editor_surname;volume;title_addition;year_first;edition;issue;pages;pages_exzerpt;archive;author_address;address;genre;textclass;note;female_education;author_address_geo;address_geo
Z_R_1843_ECH_0028;C. H.;E.;"Nodnagel, Deutsche Dichter der Gegenwart, erläutert 1842; Lessing's Dramen erläutert. 1842";Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;205-209;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_ECH_1045;C. H.;E.;Nodnagel, Deutsche Dichter der Gegenwart, Zweites Heft;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;;;;;3;182-188;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_BEC_0029;W.;Becker;"Wackernagel, Deutsches Lesebuch. 1843; Bone, Deutsches Lesebuch. 2. Aufl. 1842";Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;209-225;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_HIE_0030;Robert Heinrich;Hiecke;Proben von Erläuterungen metrischer Stücke für mittlere und obere Classen;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;24-40;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_HIE_0031;Robert Heinrich;Hiecke;Die sechs ersten Gedichte in Ecthermeier's Auswahl deutscher Geidchte, für obere Classen;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;40-55;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_VIE_0032;Heinrich;Viehoff;Erläuterungen zu Klopstocks's Messias;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;55-68;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_L_1843_VIE_0033;Heinrich;Viehoff;Aufgaben zu deutschen Arbeiten für die oberste Bildungsstufe, mit literarischen Nachweisungen;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;83-85;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Lehrmittel;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_ECH_0034;C. H.;E.;Lange, Göthe's und Schiller's Sentenzen, als Aufgaben zu Styl- und Redeübungen. 1842;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;146-150;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_PAS_0035;W. A.;Passow;"Pischon's Lehrbücher; Helbig; Grundriß der Gesch. der poet. Literatur der Deutschen. 1843.";Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;150-155;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_HIE_0036;Robert Heinrich;Hiecke;Bößler, Die schönsten Heldengeschichten des Mittelalters, ihren Sängern nacherzählt. 1843;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;3;155-170;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
