,0 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),1 Allgemeiner Diskurs der Literaturvermittlung,2 Literaturvermittlung (Oberstufe),3 Kanon Poetologie,4 Goethes und Lessings Dramen,5 Lyrik (Ästhetik),6 Handlung,7 Interdiskurs (Pädagogik Religion Staat Ästhetik),8 Lyrik (Deklamation),9 Jugendliteratur,10 Mittelalterliche Literatur (Handlung) ,11 Handlung (Robinson),12 Literatur (Patriotisch),13 Literaturvermittlung (Idealistische Poetologie),14 Rauschen,15 Lesebuch Kanon,16 Schiller (Wallenstein Wilhelm Tell ),17 Diskurs der Literaturvermittlung (Methode),18 Prosa (Unterstufe),19 Handlung (Figuren),20 Schiller (Maria Stuart) ,21 Lesebuch (Form),22 Religion Schiller (Johanna) Nation,23 Literaturvermittlung (Patriotisch) ,24 Lyrik (Unterstufe),25 Rauschen (Praxis),26 Mittelalterliche Literatur ,27 Handlung (Idylle Natur),28 Mittelaterliche Literatur (Nibelungen),29 Rauschen
Z_R_1839_BEN_0522,0.40309704206954755,0.007181525350622012,8.134366488215787e-05,0.0004833451631854649,1.1463123805909516e-05,4.960566913492238e-05,0.17017306461775783,3.251308996758776e-05,0.010454487442775771,0.00022508381651598034,3.841306211652364e-05,2.1953217158163618e-05,0.0008876665376659436,0.2774855244869014,9.062465910766186e-06,0.0034874959498966372,7.927203232578538e-06,0.010251074280599537,2.861476786886673e-05,0.0006916765637878458,1.4265490094915532e-05,0.001599775231666636,5.283306136429891e-05,0.0002651552402976382,8.228358424816919e-06,0.11331732570645757,6.288549898252038e-06,1.526519257028731e-05,9.64155994560039e-06,1.2339065946443822e-05
Z_R_1841_JAC_0172,0.021890783537761346,0.008357291646780986,0.01175827950846713,0.07934413627336573,0.0009512258408956926,0.0001057400248924253,0.21306616388197255,6.930528309479223e-05,4.1925899306461354e-05,0.023186168642341364,8.188173277832036e-05,0.0023637730147040795,0.000965369468542833,0.008539907905457715,1.9317658398776713e-05,0.023652828143571166,0.11493897081107,0.018144146262773546,0.011182486518460539,0.011205690434798023,3.040848564377248e-05,0.11786877724280141,0.019111833268582536,0.13494989025802698,1.7539665119675034e-05,0.10392008725878138,0.021792991179297557,0.009763844039469158,0.0014107384300678766,0.0412684976827762
Z_R_1842_CAD_0197,0.14473154085273,8.85841714732846e-06,0.06456223597350194,0.005894282763769962,1.338335029109488e-05,0.0003117234163585808,0.2623851696971238,0.00029176760167421166,0.00890624810471597,8.980230395326625e-06,4.48477635558637e-05,2.5630674519341166e-05,2.113001181153941e-05,0.036657251245948944,1.0580550104707421e-05,1.0767993343577246e-05,9.255115750874555e-06,0.27136017970272114,3.3408124030727484e-05,4.611723164439946e-05,1.665515039765819e-05,0.06557360072383013,0.0005692995744101081,0.017822333566791426,9.606718463882896e-06,0.12062431848790624,7.34196607629315e-06,1.7822316402432364e-05,1.125665013214272e-05,1.4406024450424694e-05
Z_R_1842_JAC_0171,0.009258920148525461,0.000555806063816841,0.0002009574473966603,0.12042175162465567,2.8319354710224563e-05,0.00012254953917061395,0.18732350746481072,0.017266291730061313,4.8590868448797414e-05,0.04137274012929884,0.03178152878020784,5.4234862526052605e-05,0.030120157097722738,0.03889882152321709,2.238859066880183e-05,0.020968184906995424,0.11119132073663844,8.312537476255155e-05,7.069205348819645e-05,9.758470134793861e-05,0.022054765273627812,0.15218118624565946,0.03503952220233699,0.02428576658738048,0.0016315125404836814,0.12151440872443972,1.5535701977652686e-05,3.771226852622753e-05,0.0032461884098261454,0.03010592904727163
Z_R_1842_OLA_0144,0.09073047840135978,5.138707922208292e-06,0.056445094260300935,0.033749104615641984,7.763591059524519e-06,0.0018003848666073548,0.3107771408663112,0.05376184003764358,0.002221806665718158,5.209370964161208e-06,0.0040012902412595395,1.4868181077225699e-05,1.225737705579359e-05,0.024945433308544634,6.137705612653263e-06,0.012962696195341843,5.368830101246347e-06,0.1942223022957593,0.0029640274986092166,0.0012046113630699382,0.00015689392377211232,0.0028502629591927262,0.034046462675969565,0.08380757466639492,5.572792458940326e-06,0.0807213159802197,4.259024904038336e-06,0.004574542496329164,0.0005954594409955499,0.0033947016598029223
Z_R_1843_BEC_0029,0.10141091346691858,0.07846879547898657,0.037425410492544185,0.00011091450249944051,2.618202798738296e-05,0.030898052783228193,0.18808162015698068,0.015963165048798515,4.4923604039548736e-05,1.7568145376874376e-05,0.002570377600073674,5.01416329248597e-05,4.133692600062689e-05,0.14917148223487858,2.069887232554044e-05,2.1065570052147876e-05,1.8105907291173703e-05,0.05966024333604837,0.00453411113371192,9.021975987714433e-05,0.0030117522757033346,0.21169926438845768,0.0011137284062816874,0.05423067288774857,1.8793752402614108e-05,0.06120102614987409,1.4363186878537389e-05,3.48660370310239e-05,2.2021535893000068e-05,2.818269918548817e-05
Z_R_1843_BEC_0037,0.19228000796184205,9.369710528544988e-06,0.023456256063306934,5.9968052380267284e-05,1.41558154288879e-05,0.012678761769867618,0.28209339143011364,0.022590582592593937,2.4288807860519727e-05,9.49855463842402e-06,4.743630327883129e-05,2.7110035224521602e-05,2.2349601610099007e-05,0.05300129683213563,0.01316561000621405,1.1389504346501181e-05,9.789305928093983e-06,0.16460601466472902,0.004867571850764712,0.0005856940945865514,1.761645849817552e-05,0.09405649431779467,0.011608917174427429,0.047307507309461996,1.0161202575897793e-05,0.07738499997378741,7.765732376467566e-06,1.8850991419984297e-05,1.1906365607437365e-05,1.5237516671737278e-05
Z_R_1843_BEC_0047,0.1743217522257652,1.5201334830156022e-05,0.07202758225391157,9.729163356408816e-05,2.2966268752149997e-05,0.0044548154916883445,0.2803997630893351,0.00921154472009137,0.017025586710482956,0.0008864965634497716,0.0009480464286273763,4.3983079461182956e-05,3.625979440460553e-05,0.09557077959564046,1.815657155831794e-05,1.847823031386305e-05,1.5882082665674038e-05,0.11505079002942677,5.7329438317502126e-05,7.913868448584013e-05,2.85807852159867e-05,0.11601079775412362,0.0057679108335502195,0.014904158401502242,1.6485444471597e-05,0.09288300182634492,1.2599054975756915e-05,3.0583680422417406e-05,1.931678141576648e-05,2.4721211205137688e-05
Z_R_1843_ECH_0028,0.002056375440322682,5.788216550352459e-05,0.0006205463717143365,0.3502967984788313,8.744872629693451e-05,0.1811460625361839,0.16881604575235773,0.001906451268640732,0.000150046129192876,5.867811070049221e-05,0.00029304170591992426,0.00016747449570523904,0.0017964851984346448,0.17152856046024498,6.913482872769272e-05,7.035960967832247e-05,6.047425095666867e-05,0.0002566869273795976,0.00021829346396178971,0.0003013365921033132,0.00010882713647032085,0.0005952736940764244,0.0004030475462800031,0.0020227896363670395,6.277167340667992e-05,0.11651699718848514,4.7973457162990586e-05,0.00011645356619640354,7.35525630739184e-05,9.413102562445694e-05
Z_R_1843_ECH_0034,0.2490540851638626,6.523937045321868e-05,0.19322852855124176,0.052755554807965115,9.856403610539484e-05,0.0004265272753249154,0.2145734686136805,0.04700992485985069,0.00016911798171907505,6.613648553372253e-05,0.00033028923925779825,0.01701169325700025,0.0001556156867900085,0.047532230716987076,7.792232138085998e-05,7.930278006734978e-05,6.816092706142418e-05,0.0002893135286169675,0.005853683885623138,0.0003396384601771925,0.00012265978319553236,0.017493868554682025,0.0004542775473806484,0.0022798995387939506,7.075036705559127e-05,0.1500192221991806,5.4071199937870016e-05,0.00013125558243364227,8.290157889602286e-05,0.00010609569974505227
